Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.811,0.5524475524475524,0.2010178117048346,0.2947761194029851,0.7788998829864888
Decision Tree,0.781,0.4489795918367347,0.5038167938931297,0.4748201438848921,0.6763016763491785
Random Forest,0.8665,0.7625,0.46564885496183206,0.5781990521327014,0.8653307492189862
